Country,Forestation,Agriculture,Urban Land
Aruba,2.333333333,11.11111111,4.717903532
Africa Eastern and Southern,30.2517858,44.11797966,0.005607138
Afghanistan,1.850994088,58.08136507,
Africa Western and Central,19.81676207,39.95354519,
Angola,53.42695115,45.68259405,0.004331751
Albania,28.7919708,42.84967153,0.299001393
Andorra,34.04255319,40.06382979,
Arab World,2.812928807,36.56355816,0.080323568
United Arab Emirates,4.467755562,5.375246409,1.513737091
Argentina,10.44071488,54.36055965,0.058473062
Armenia,11.5374078,58.914647,
American Samoa,85.65,24.5,1.382021892
Antigua and Barbuda,18.45454545,20.45454545,5.752507421
Australia,17.42131456,46.65809501,0.022649053
Austria,47.25096946,32.14772176,
Azerbaijan,13.69286423,57.8253926,
Burundi,10.8894081,79.16666667,
Belgium,22.76420079,44.71598415,4.919282811
Benin,27.80374246,35.03015254,0.092540899
Burkina Faso,22.72076023,44.2251462,
Bangladesh,14.46877161,70.69447645,0.646632581
Bulgaria,35.86035372,46.33382461,0.074646747
Bahrain,0.897435897,11.02564103,21.2985813
"Bahamas, The",50.93506494,1.398601399,0.961885435
Bosnia and Herzegovina,42.73261719,43.18359375,0.056860407
Belarus,43.19440339,41.64449699,0
Belize,55.98640947,7.540552389,0.397575474
Bermuda,18.51851852,5.555555556,4.519706283
Bolivia,46.92491461,34.82599465,
Brazil,59.41747805,28.34109036,0.040895286
Barbados,14.65116279,23.25581395,0.46820612
Brunei Darussalam,72.10626186,2.732447818,0.261516654
Bhutan,71.44939696,13.45044573,
Botswana,26.91705045,45.63301749,
Africa,35.80050724,8.154354875,
Canada,38.69551251,6.491374243,0.021347011
Central Europe and the Baltics,34.51987695,46.68766944,0.189576891
Switzerland,32.11633355,38.21425381,0
Channel Islands,,46.56565657,
Chile,24.49215367,21.1060183,0.00653134
China,23.3405957,56.07908341,0.258707371
Cote d'Ivoire,8.920471698,66.66666667,0.040986437
Cameroon,43.02951069,20.62575363,0.003514913
Dem. Rep. Congo,55.64731259,13.89470898,0.00113706
Congo, Dem. Rep.Fa,64.26354319,31.12152269,0.001195476
Colombia,53.30501127,44.60748085,0.058194681
Comoros,17.68941429,70.39226222,0.03603716
Cabo Verde,11.34491315,19.60297767,0.2806248
Costa Rica,59.43732863,34.90990991,0.024115418
Caribbean small states,89.82072372,5.174385575,0.276517874
Cuba,31.23314066,60.69364162,0.156831786
Curacao,0.157657658,,
Cayman Islands,53,11.25,8.55181334
Cyprus,18.67207792,14.17175325,0.882732174
Czech Republic,34.67733161,45.63471503,
Germany,32.68361097,47.64153644,0.906600223
Djibouti,0.250215703,73.4253667,0.07479015
Dominica,63.82666667,33.33333333,0.324061641
Denmark,15.711,65.8,2.860021183
Dominican Republic,44.3821155,50.27944525,0.113015149
Algeria,0.81830896,17.36496412,0.008651013
East Asia & Pacific (excluding high income),30.43115563,49.03523755,0.262123486
Early-demographic dividend,22.77863405,41.23995599,0.082469111
East Asia & Pacific,27.14319557,47.42440269,0.221698813
Europe & Central Asia (excluding high income),39.42360781,27.91850717,0.020001345
Europe & Central Asia,38.51495422,29.11104393,0.152832675
Ecuador,50.32142857,21.9358995,0.229516708
"Egypt, Arab Rep.",0.045185594,3.853502235,0.28672983
Euro area,38.63952141,42.81556926,0.947756447
Eritrea,10.44811881,75.16831683,0.010480787
Spain,37.1738204,52.40820971,0.395150091
Estonia,56.09385783,23.09638831,0.104278349
Ethiopia,15.11422483,33.56325769,0
European Union,39.81160243,40.94154655,0.75332659
Fragile and conflict affected situations,23.20118724,33.50151401,0.0308691
Finland,73.73321927,7.475651487,0.121447087
Fiji,62.39846743,23.26217843,0.633794844
France,31.50904837,52.34176533,0.599501511
Faroe Islands,0.05730659,2.148997135,1.006087585
"Micronesia, Fed. Sts.",92.02857143,31.42857143,0.854674512
Gabon,91.32068149,8.587107541,0.016084476
United Kingdom,13.18563221,71.71852023,1.195418074
Georgia,40.61591596,34.13152972,0.156599883
Ghana,35.09585128,64.96765404,0.055515847
Gibraltar,,,13.9757167
Guinea,25.18720495,59.01025558,0.031430644
"Gambia, The",23.97924901,59.7826087,0.700576469
Guinea-Bissau,70.4128734,28.98684211,0.093957709
Equatorial Guinea,87.28770053,10.12477718,0.014592602
Greece,30.26997673,47.35143522,0.778060762
Grenada,52.05882353,23.52941176,0.477662179
Greenland,0.000535997,0.592301133,0.004000727
Guatemala,32.92086599,35.98357596,0.02064784
Guam,51.85185185,33.33333333,0.736837319
Guyana,93.5501143,6.356362713,0.191739547
High income,29.26058249,34.74427031,0.19776238
"Hong Kong SAR, China",,4.761904762,5.593495944
Honduras,56.83492716,29.99374386,0.018311079
Heavily indebted poor countries (HIPC),27.1602206,38.02466653,0.01441502
Croatia,34.26594805,26.22371444,0.185436876
Haiti,12.60159652,66.76342525,0.089545295
Hungary,22.49627438,58.03199649,
IBRD only,33.9250508,36.89711574,0.098564364
IDA & IBRD total,31.76307132,37.66396436,0.081620829
IDA total,25.61432654,39.84490909,0.02314704
IDA blend,29.75513653,45.00687076,0.019787857
Indonesia,49.07178037,33.18208764,0.222963039
IDA only,24.7332059,38.74649815,0.023943997
Isle of Man,6.070175439,70.70175439,0.358830431
India,24.27022827,60.43138851,0.115484746
Ireland,11.35172013,,
Iran,6.601261082,65.55378139,0.380027152
Iraq,1.900361184,28.21410153,0.053066598
Iceland,0.509273034,21.30707994,0.313256639
